,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
is zilverkleurig,is silver-coloured,4,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0
is zwaar,is heavy,72,4,3,0,0,0,2,0,4,0,1,4,1,2,0,1,4,0,0,2,0
is zwart,is black,53,1,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,1
je kan er dingen mee vastbinden,you can tie things down with it,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
je kan er iemand mee doden,you can kill someone with it,112,4,4,2,4,4,4,4,4,1,3,4,4,1,4,2,3,4,4,4,2
je kan er mee touwtrekken,you can play tug-of-war with it,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
je kan ermee spelen,you can play with it,8,0,0,0,2,0,0,0,0,3,1,0,0,1,2,3,0,2,0,1,0
kan als verdediging werken,can work as defence,23,2,2,3,2,2,2,1,1,2,2,1,2,4,2,2,2,2,2,2,2
kan als wapen gebruikt worden,can be used as weapon,138,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,3,2,4,4,3
kan breken,can break,5,0,1,0,2,1,0,0,0,2,1,1,0,1,4,4,0,4,0,3,0
kan een regenboog zijn,can be a rainbow,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan je iemand mee bedreigen,can be used to threaten somebody,4,3,3,1,4,4,4,2,4,3,3,4,4,0,3,3,3,1,4,4,1
kan je iemand mee slaan,can be used to hit somebody,40,0,2,2,0,0,1,0,0,0,4,0,0,1,0,4,0,1,0,0,2
kan je knopen,can be knotted,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
kan je mee sjorren,can be used to lash,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
kan je zelf maken,can be manufactured by yourself,8,0,1,0,4,0,0,0,0,4,2,0,0,2,2,2,0,1,0,0,3
